,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
21814,314763,GB-0170,closed,RAF Burnfoot,54.98709682742601,-2.9843628088202,,EU,GB,GB-ENG,,no,,,,,,
21815,314764,GB-0171,small_airport,Plumpton airstrip,54.760443753357,-2.7933389672626,,EU,GB,GB-ENG,,no,,,,,,
21816,314765,GB-0172,small_airport,Lingcroft Grass Airstrip,54.591769131557996,-3.4330296509456004,,EU,GB,GB-ENG,,no,,,,,,
21817,315059,GB-0173,closed,Llandow,51.43523,-3.49816,,EU,GB,GB-WLS,,no,,,X7LD,,,
21818,315384,GB-0174,heliport,Lorn and Islands District General Hospital Helipad,56.3995,-5.4746,59.0,EU,GB,GB-SCT,Oban,no,,,,,,
21819,315465,GB-0175,small_airport,Channel gliding club,51.179254,1.280945,,EU,GB,GB-ENG,,no,,,,,,
21820,315670,GB-0176,small_airport,Jackrells Farm,51.0323677,-0.3302872,,EU,GB,GB-ENG,horsham,no,,,,,,"horsham,sussex"
21821,315672,GB-0177,small_airport,Great Oakley,51.912244,1.1820700000000002,,EU,GB,GB-ENG,,no,,,,,,
21822,315685,GB-0178,closed,Sproston Green Airfield,53.1864591,-2.3822782000000005,,EU,GB,GB-ENG,,no,,,,,,
21823,315686,GB-0179,small_airport,Wombleton,54.2369039,-0.97116,,EU,GB,GB-ENG,,no,,,,,,
21824,315788,GB-0180,small_airport,Strathaven Airfield,55.680333,-4.115,847.0,EU,GB,GB-SCT,,no,,,,http://www.strathavenairfield.co.uk,,
21825,315912,GB-0181,small_airport,East Fortune Airfield,56.0008488,-2.7353237,,EU,GB,GB-SCT,,no,,,,http://www.eosm.co.uk,,
21826,315913,GB-0182,small_airport,East Kirkby,53.13822639999999,0.0025685,,EU,GB,GB-ENG,,no,,,,,,
21827,315929,GB-0183,small_airport,Willow Farm Airstrip,53.4218606,-0.91015,,EU,GB,GB-ENG,,no,,,,,,
21828,315930,GB-0184,small_airport,Weybourne Airstrip,52.9478238,1.1232003000000002,,EU,GB,GB-ENG,,no,,,,,,
21829,315931,GB-0185,small_airport,Wadswick Farm Airstrip,51.410892100000005,-2.2200765,,EU,GB,GB-ENG,Wadswick,no,,,,http://www.wadswick.co.uk/PBCPPlayer.asp?ID=1252703,,
21830,315998,GB-0186,small_airport,Bellarena,55.139714100000006,-6.9690032,,EU,GB,GB-NIR,,no,,,,,,
21831,315999,GB-0187,small_airport,Boones Farm Airstrip,51.9119794,0.5896978,,EU,GB,GB-ENG,,no,,,,,,
21832,316001,GB-0188,small_airport,Black Spring Farm Airstrip,52.78052099999999,-0.5279459,,EU,GB,GB-ENG,,no,,,,,,Castle Bytham
21833,316002,GB-0189,small_airport,Caunton Airstrip,53.1198774,-0.8914806000000001,,EU,GB,GB-ENG,,no,,,,,,
21834,316004,GB-0190,small_airport,Cuckoo Tye Farm Airstrip,52.0682234,0.7362014,,EU,GB,GB-ENG,,no,,,,,,
21835,316006,GB-0191,small_airport,Cruglas Synod Inn Airstrip,52.1296089,-4.3664332,,EU,GB,GB-WLS,,no,,,,,,
21836,316007,GB-0192,small_airport,Ditton Priors Airstrip,52.50358000000001,-2.562562,,EU,GB,GB-ENG,,no,,,,,,
21837,316009,GB-0193,small_airport,Bourne Park Airfield,51.2643784,-1.4656348,,EU,GB,GB-ENG,,no,,,,,,Doles Wood
21838,316013,GB-0194,small_airport,East Winch Airstrip,52.7237397,0.524189,,EU,GB,GB-ENG,,no,,,,,,
21839,316015,GB-0195,small_airport,Easton Maudit Airstrip,52.21361629999999,-0.7014104,,EU,GB,GB-ENG,,no,,,,,,
21840,316028,GB-0196,small_airport,Midland Glider Club,52.518230599999995,-2.8796001,,EU,GB,GB-ENG,,no,,,,,,Long Mynd
21841,316030,GB-0197,small_airport,Park Farm Airstrip,51.8822801,-0.6071886,,EU,GB,GB-ENG,,no,,,,,,
21842,316038,GB-0198,small_airport,Tibenham Priory Farm Airstrip,52.4492811,1.1298678999999998,,EU,GB,GB-ENG,,no,,,,,,
21843,316039,GB-0199,small_airport,Sittles Farm Airstrip,52.7071274,-1.7500554,,EU,GB,GB-ENG,,no,,,,,,
21844,316041,GB-0200,small_airport,Hanley Farm Airstrip,52.2990979,-2.4698229,645.0,EU,GB,GB-ENG,,no,,,,http://www.hwas.orangehome.co.uk/,,
21845,316100,GB-0201,small_airport,Glenswinton Farm Airstrip,55.0475833333,-4.0317666667,520.0,EU,GB,GB-SCT,Castle Douglas,no,,,,http://www.glenswinton.co.uk/,,Glenswinton
21846,316248,GB-0202,small_airport,Insch,57.3113333333,-2.6466666667,500.0,EU,GB,GB-SCT,Insch,no,,,,,,"Aberdeenshire, Aberdeen CTR"
21847,316270,GB-0203,small_airport,Westonzoyland Microlight,51.1077398,-2.911336,30.0,EU,GB,GB-ENG,Bridgewater,no,,,,,,
21848,316275,GB-0204,small_airport,Plaistows Airfield,51.7290068,-0.3801541,395.0,EU,GB,GB-ENG,,no,,,,,,
21849,316328,GB-0205,small_airport,Nantclwyd Airstrip,53.0632694,-3.3232823,,EU,GB,GB-WLS,,no,,,,,,
21850,316382,GB-0206,small_airport,Wingland Airfield,52.81380479999999,0.11489680000000001,,EU,GB,GB-ENG,,no,,,,,,
21851,316387,GB-0207,small_airport,Wallis International,52.57901120000001,-0.11370439999999998,,EU,GB,GB-ENG,,no,,,,,,
21852,316396,GB-0208,small_airport,Thornborough Grounds Airstrip,52.005743,-0.9356639999999999,270.0,EU,GB,GB-ENG,Bourton,no,,,,,,
21853,316404,GB-0209,small_airport,Watchford Farm Airstrip,50.9023839,-3.0981345,,EU,GB,GB-ENG,,no,,,,,,
21854,316405,GB-0210,small_airport,Twycross (Gopsall House) Airstrip,52.6431941,-1.4717717,,EU,GB,GB-ENG,Twycross,no,,,,,,Gopsall House
21855,316428,GB-0211,small_airport,Stow Longa,52.31454,-0.3611127,,EU,GB,GB-ENG,Kimbolton,no,,,,,,
21856,316431,GB-0212,small_airport,Whitehill Farm Airstrip,52.097053100000004,0.0164536,,EU,GB,GB-ENG,Meldreth,no,,,,,,
21857,316433,GB-0213,small_airport,Pear Tree Farm Airstrip,51.9031372,-1.0760823999999998,,EU,GB,GB-ENG,,no,,,,,,
21858,316434,GB-0214,small_airport,Jericho Farm Airstrip,53.0102971,-1.0570389999999998,,EU,GB,GB-ENG,,no,,,,,,
21859,316435,GB-0215,small_airport,Jubilee Farm Airstrip,52.63080359999999,0.0643512,,EU,GB,GB-ENG,,no,,,,,,
21860,316451,GB-0216,small_airport,Ashley's Field Airstrip,53.219069299999994,0.27052750000000003,,EU,GB,GB-ENG,,no,,,,,,
21861,316452,GB-0217,small_airport,Clutton Hill Airstrip,51.341404299999994,-2.522437,,EU,GB,GB-ENG,,no,,,,,,
21862,316453,GB-0218,small_airport,Battleflat Farm Airstrip,52.698442799999995,-1.3523717,,EU,GB,GB-ENG,,no,,,,,,
21863,316468,GB-0219,small_airport,Rayne Hall Farm Airstrip,51.885975,0.5201017,,EU,GB,GB-ENG,,no,,,,,,
21864,316469,GB-0220,small_airport,Spence Airfield,51.8386485,-2.5914762000000002,,EU,GB,GB-ENG,,no,,,,,,
21865,316470,GB-0221,small_airport,Sandhill Farm Airstrip,51.6051516,-1.6747292,,EU,GB,GB-ENG,,no,,,,,,
21866,316481,GB-0222,small_airport,Tower Farm Airstrip,52.259372799999994,-0.6556195,,EU,GB,GB-ENG,,no,,,,,,
21867,316482,GB-0223,small_airport,Pent Farm Airstrip,51.1096929,1.0543112,,EU,GB,GB-ENG,,no,,,,https://tigerclub.co.uk,,Tiger Club
21868,316484,GB-0224,small_airport,Holly Meadow Farm Airstrip,53.0049004,-1.6570161,,EU,GB,GB-ENG,,no,,,,,,
21869,316490,GB-0225,small_airport,Stoodleigh Barton Private Airstrip,50.95727120000001,-3.5301848,,EU,GB,GB-ENG,,no,,,,,,
21870,316491,GB-0226,small_airport,Talybont Airstrip,52.612410100000005,-4.0750378,,EU,GB,GB-WLS,,no,,,,,,
21871,316492,GB-0227,small_airport,Talybont Airstrip,53.5341289,-0.6848004,,EU,GB,GB-ENG,,no,,,,,,Low Hill Farm
21872,316493,GB-0228,small_airport,Redmoor Farm Airstrip,53.8404059,-0.9719151,,EU,GB,GB-ENG,,no,,,,,,
21873,316494,GB-0229,small_airport,Kirkbymoorside,54.2510003,-0.9412738000000002,,EU,GB,GB-ENG,,no,,,,,,Slingsby
21874,316497,GB-0230,small_airport,Oaklands Farm Airstrip,51.8471331,-1.4397248,,EU,GB,GB-ENG,,no,,,,,,
21875,316516,GB-0231,small_airport,Berrow Airstrip,52.0009216,-2.3568692,,EU,GB,GB-ENG,,no,,,,,,
21876,316517,GB-0232,small_airport,Stoney Lane Airstrip,52.332000799999996,-1.993326,,EU,GB,GB-ENG,,no,,,,,,
21877,316529,GB-0233,small_airport,Old Hay Airfield,51.1787584,0.4256228,,EU,GB,GB-ENG,,no,,,,http://www.oldhayairfield.co.uk/,,
21878,316530,GB-0234,small_airport,Laddingford Aerodrome,51.1908,0.4128,,EU,GB,GB-ENG,,no,,,,,,
21879,316531,GB-0235,small_airport,High Cross Airstrip,51.8484111,-0.00746,,EU,GB,GB-ENG,,no,,,,,,
21880,316541,GB-0236,small_airport,Kingsmuir Airfield,56.269155700000006,-2.7508106,387.0,EU,GB,GB-SCT,Kingsmuir,no,,,,,,
21881,316542,GB-0237,small_airport,Little Chase Farm Airstrip,52.357319,-1.6209368,,EU,GB,GB-ENG,,no,,,,,,
21882,316632,GB-0238,small_airport,Wild Geese Skydive Centre,54.98706120000001,-6.6437758,,EU,GB,GB-NIR,,no,,,,,,
21883,316633,GB-0239,small_airport,Whiterashes Farm Airstrip,57.3191192,-2.2487645,,EU,GB,GB-SCT,,no,,,,,,
21884,316634,GB-0240,small_airport,Grove Farm Airstrip,53.31404570000001,-0.8662693000000001,,EU,GB,GB-ENG,,no,,,,,,
21885,316635,GB-0241,small_airport,Taw Mill Airstrip,50.77648129999999,-3.9040790999999997,,EU,GB,GB-ENG,,no,,,,,,
21886,316636,GB-0242,small_airport,Nuthampstead,51.9952935,0.0701442,,EU,GB,GB-ENG,,no,,,,,,RAF Nuthampstead
21887,316638,GB-0243,small_airport,Melrose Farm Airstrip,53.86843399999999,-0.8379453000000001,,EU,GB,GB-ENG,,no,,,,,,Melbourne
21888,302271,GB-0244,closed,RAF Cammeringham / RAF Ingham,53.3408413998,-0.548758506775,200.0,EU,GB,GB-ENG,Lincolnshire,no,,,,,http://en.wikipedia.org/wiki/RAF_Cammeringham,
21889,316746,GB-0245,small_airport,Peterlee Airfield,54.766837800000005,-1.3843768,,EU,GB,GB-ENG,,no,,,,,,
21890,316805,GB-0246,small_airport,Wharf Farm Airstrip,52.627313199999996,-1.4184066,,EU,GB,GB-ENG,,no,,,,,,
21891,316806,GB-0247,small_airport,Low Farm Airstrip,52.672011100000006,1.5158978,,EU,GB,GB-ENG,,no,,,,,,
21892,316818,GB-0248,small_airport,Rufforth East,53.95188,-1.17562,65.0,EU,GB,GB-ENG,,no,,,,http://www.yorkflyingclub.co.uk/,https://en.wikipedia.org/wiki/RAF_Rufforth,
21893,317045,GB-0249,small_airport,Monewden Airstrip,52.168089,1.260251,,EU,GB,GB-ENG,Mowenden,no,,,,,,
21894,317134,GB-0250,small_airport,Shacklewell Airstrip,52.652463600000004,-0.5709898,,EU,GB,GB-ENG,,no,,,,,,
21895,317378,GB-0251,small_airport,Chirk,52.9474365,-3.0460472999999997,,EU,GB,GB-WLS,,no,,,,http://chirkairfield.wix.com/chirk-airfield#!,,
21896,317379,GB-0252,small_airport,Crowland Glider Field,52.7095466,-0.1396686,,EU,GB,GB-ENG,Peterborough,no,,,,http://www.psgc.co.uk/,,
21897,317443,GB-0253,small_airport,Manor Farm Airstrip,52.9126035,0.952548,,EU,GB,GB-ENG,Binham,no,,,,,,
21898,317445,GB-0254,small_airport,Gutchpool Farm Airstrip,51.0572904,-2.2334968999999996,,EU,GB,GB-ENG,,no,,,,,,
21899,317446,GB-0255,small_airport,Gorrel Farm Airstrip,50.9438009,-4.386336,,EU,GB,GB-ENG,,no,,,,,,
21900,317450,GB-0256,small_airport,Swanton Morley Airstrip,52.7348042,0.9620110999999999,,EU,GB,GB-ENG,,no,,,,,,
21901,317451,GB-0257,small_airport,Stones Farm Airstrip,51.9891623,0.65789,,EU,GB,GB-ENG,,no,,,,,,
21902,317452,GB-0258,small_airport,Clipgate Farm Airstrip,51.1870367,1.153392,,EU,GB,GB-ENG,,no,,,,,,
21903,317533,GB-0259,small_airport,Charlton Park Airstrip,51.5996654,-2.078113,,EU,GB,GB-ENG,Malmesbury Wiltshire,no,,,,http://charltonparkestate.com/airstrip.html,,
21904,317536,GB-0260,small_airport,Felixkirk Airstrip,54.2518757,-1.2949511,,EU,GB,GB-ENG,Thirsk,no,,,,,,
21905,317573,GB-0261,small_airport,Top Farm Airfield,52.1225417,-0.117631,,EU,GB,GB-ENG,,no,,,,,,
21906,317574,GB-0262,small_airport,Griffin's Farm Airstrip,53.077296200000006,-0.5118520000000001,,EU,GB,GB-ENG,,no,,,,,,Temple Bruer
21907,317576,GB-0263,small_airport,Peplow Airstrip,52.8028279,-2.5019638,,EU,GB,GB-ENG,Child's Ercall,no,,,,,,
21908,317591,GB-0264,small_airport,Long Stratton Airstrip,52.4881514,1.2165196000000003,,EU,GB,GB-ENG,Long Stratton,no,,,,,,
21909,317592,GB-0265,small_airport,Lower Withial Fram Airstrip,51.125317700000004,-2.5965937,,EU,GB,GB-ENG,,no,,,,,,
21910,317631,GB-0266,small_airport,Upper Harford Airstrip,51.88887570000001,-1.8173158,,EU,GB,GB-ENG,Upper Harford,no,,,,,,
21911,317632,GB-0267,small_airport,Rosemarket Airstrip,51.745259999999995,-4.9642344000000005,,EU,GB,GB-WLS,,no,,,,,,
21912,317634,GB-0268,small_airport,Westover Farm Airstrip,50.8421544,-4.1670387,,EU,GB,GB-ENG,Sheepwash,no,,,,,,
21913,317665,GB-0269,small_airport,Ince Blundell Microlight,53.535555599999995,-3.0297222,10.0,EU,GB,GB-ENG,,no,,,,http://www.wlms.co.uk,,West Lancashire Microlight School
21914,317693,GB-0270,small_airport,Mitchell's Farm Airstrip,52.337385499999996,0.1828829,,EU,GB,GB-ENG,,no,,,,,,
21915,317694,GB-0271,small_airport,Kingfisher's Bridge Airstrip,52.3305139,0.2681335,,EU,GB,GB-ENG,,no,,,,,,
21916,317729,GB-0272,small_airport,Newnham Airstrip,52.019860200000004,-0.1677845,,EU,GB,GB-ENG,Newnham,no,,,,,,
21917,317731,GB-0273,small_airport,Mount Airey Airstrip,53.772322200000005,-0.5759365,,EU,GB,GB-ENG,South Cave,no,,,,,,Mount Airey
21918,317738,GB-0274,small_airport,Little Staughton Airfield,52.242757,-0.3633024,,EU,GB,GB-ENG,,no,,,,,,
21919,317739,GB-0275,small_airport,Lydeway field,51.3309604,-1.9289392,,EU,GB,GB-ENG,,no,,,,,,
